No Sensor found on bus! Rescanning...
No Sensor found on bus! Rescanning...
✖ WiFi connection lost
🔄 WiFi disconnected, retrying...
✖ WiFi connection lost
No Sensor found on bus! Rescanning...
No Sensor found on bus! Rescanning...
✖ WiFi connection lost
🔄 WiFi disconnected, retrying...
✖ WiFi connection lost
No Sensor found on bus! Rescanning...
No Sensor found on bus! Rescanning...
✖ WiFi connection lost
🔄 WiFi disconnected, retrying...
✖ WiFi connection lost
⚠ WiFi connection timeout (20s). Falling back to AP Setup Mode!
✖ WiFi connection lost
🚀 AP Mode active. SSID: 'Pool-Controller-Setup'. IP: 192.168.4.1
[ 33175][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33183][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33191][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33199][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33207][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33215][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33223][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33231][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33239][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33247][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33255][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33263][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33271][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33279][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33287][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33295][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33303][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33311][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33319][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33327][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33335][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33343][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33351][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33359][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33367][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33375][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33383][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33391][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33399][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33407][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33415][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33423][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33431][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33439][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33447][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33455][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33463][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33471][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33479][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33487][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33495][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33503][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33511][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33519][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33527][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33535][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33543][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33551][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33559][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33567][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33575][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33583][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33591][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33599][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33607][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33615][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33623][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33631][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33639][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33647][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33655][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33663][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33671][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33679][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33687][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33695][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33703][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33711][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33719][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33727][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33735][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33743][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33751][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33759][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33767][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33775][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33783][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33791][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33799][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33807][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33815][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33823][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33831][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33839][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33847][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33855][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33863][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33871][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33879][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33887][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33895][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33903][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33911][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33919][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33927][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33935][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33943][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33951][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33959][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33967][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33975][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33983][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33991][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 33999][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34007][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34015][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34023][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34031][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34039][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34047][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34055][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34063][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34071][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34079][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34087][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34095][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34103][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34111][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34119][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34127][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34135][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34143][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34151][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34159][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34167][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34175][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34183][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34191][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34199][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34207][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34215][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34223][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34231][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34239][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34247][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34255][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34263][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34271][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34279][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34287][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34295][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34303][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34311][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34319][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34327][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34335][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34343][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34351][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34359][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34367][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34375][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34383][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34391][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34399][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34407][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34415][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34423][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34431][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34439][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34447][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34455][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34463][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34471][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34479][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34487][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34495][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34503][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34511][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34519][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34527][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34535][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34543][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34551][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34559][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34567][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34575][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34583][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34591][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34599][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34607][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34615][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34623][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34631][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34639][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34647][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34655][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34663][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34671][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34679][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34687][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34695][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34703][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34711][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34719][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34727][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34735][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34743][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34751][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34759][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34767][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34775][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34783][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34791][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34799][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34807][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34815][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34823][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34831][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34839][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34847][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34855][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34863][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34871][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34879][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34887][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34895][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34903][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34911][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34919][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34927][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34935][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34943][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34951][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34959][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34967][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34975][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34983][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34991][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 34999][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35007][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35015][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35023][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35031][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35039][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35047][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35055][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35063][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35071][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35079][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35087][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35095][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35103][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35111][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35119][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35127][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35135][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35143][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35151][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35159][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35167][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35175][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35183][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35191][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35199][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35207][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35215][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35223][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35231][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35239][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35247][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35255][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35263][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35271][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35279][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35287][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35295][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35303][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35311][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35319][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35327][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35335][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35343][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35351][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35359][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35367][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35375][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35383][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35391][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35399][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35407][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35415][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35423][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35431][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35439][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35447][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35455][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35463][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35471][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35479][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35487][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35495][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35503][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35511][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35519][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35527][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35535][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35543][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35551][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35559][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35567][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35575][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35583][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35591][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35599][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35607][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35615][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35623][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35631][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35639][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35647][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35655][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35663][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35671][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35679][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35687][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35695][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35703][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35711][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35719][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35727][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35735][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35743][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35751][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35759][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35767][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35775][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35783][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35791][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35799][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35807][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35815][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35823][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35831][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35839][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35847][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35855][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35863][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35871][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35879][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35887][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35895][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35903][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35911][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35919][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35927][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35935][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35943][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35951][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35959][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35967][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35975][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35983][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35991][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 35999][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 36007][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 36015][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 36023][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 36031][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 36039][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
[ 36047][E][WiFiUdp.cpp:221] parsePacket(): could not receive data: 9
